### Smoothing Techniques Applied to Telugu Bigram Corpus
This file contains smoothed probabilities for each bigram using three techniques:

1. Add-One Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + 1) / (count(w₁) + V)
2. Add-K Smoothing (k = 0.3):
   P(w₂ | w₁) = (count(w₁, w₂) + k) / (count(w₁) + k × V)
3. Token Type Smoothing:
   P(w₂ | w₁) = (count(w₁, w₂) + weight(w₂)) / (∑ bigram_counts + ∑ token_type_weights)

Bigram	Count	PrefixCount	AddOne	AddK	TokenType
('పడుతున్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'దళితుల్ని')	1	1945	0.000195	0.000293	0.000074
('దళితుల్ని', 'ఆకర్షించేందుకు')	1	1	0.000241	0.000521	0.000074
('ఆకర్షించేందుకు', 'మోడీ')	1	1	0.000241	0.000521	0.000074
('మోడీ', 'ఇలాంటి')	1	4	0.000241	0.000521	0.000074
('ఇలాంటి', 'వ్యాఖ్యలు')	1	10	0.000240	0.000520	0.000074
('వ్యాఖ్యలు', 'చేస్తున్నారే')	1	7	0.000241	0.000520	0.000074
('చేస్తున్నారే', 'తప్పించి')	1	1	0.000241	0.000521	0.000074
('తప్పించి', 'అంజయ్య')	1	1	0.000241	0.000521	0.000074
('అంజయ్య', '</s>')	1	2	0.000241	0.000521	0.000059
('<s>', 'రెడ్డి')	4	1945	0.000488	0.000969	0.000163
('రెడ్డి', 'సామాజిక')	1	24	0.000240	0.000517	0.000074
('సామాజిక', 'వర్గానికి')	1	9	0.000241	0.000520	0.000074
('వర్గానికి', 'చెందిన')	1	1	0.000241	0.000521	0.000074
('చెందిన', 'వారుగా')	1	21	0.000240	0.000517	0.000074
('వారుగా', 'అంజయ్య')	1	1	0.000241	0.000521	0.000074
('అంజయ్య', 'మనమడు')	1	2	0.000241	0.000521	0.000074
('మనమడు', '</s>')	1	1	0.000241	0.000521	0.000059
('తెలంగాణ', 'కాంగ్రెస్')	1	16	0.000240	0.000518	0.000074
('కాంగ్రెస్', 'వర్కింగ్')	1	14	0.000240	0.000519	0.000074
('వర్కింగ్', 'కార్యదర్శి')	1	1	0.000241	0.000521	0.000074
('కార్యదర్శి', 'అభిషేక్')	1	2	0.000241	0.000521	0.000074
('అభిషేక్', 'రెడ్డి')	1	1	0.000241	0.000521	0.000074
('రెడ్డి', 'తప్పు')	1	24	0.000240	0.000517	0.000074
('తప్పు', 'పట్టారు')	1	4	0.000241	0.000521	0.000074
('పట్టారు', '</s>')	2	2	0.000361	0.000922	0.000089
('<s>', 'ఇక')	31	1945	0.003121	0.007054	0.000962
('ఇక', ',')	2	36	0.000360	0.000910	0.000104
(',', 'గార్డు')	1	549	0.000226	0.000427	0.000074
('గార్డు', 'నుంచి')	1	1	0.000241	0.000521	0.000074
('నుంచి', 'ఇన్')	1	56	0.000239	0.000510	0.000074
('ఇన్', '\u200c')	8	9	0.001082	0.003319	0.000281
('\u200c', 'స్పెక్టర్')	1	995	0.000215	0.000373	0.000074
('స్పెక్టర్', 'వరకు')	1	1	0.000241	0.000521	0.000074
('వరకు', 'తమ')	1	14	0.000240	0.000519	0.000074
('తమ', 'గుర్తింపుకార్డును')	1	20	0.000240	0.000517	0.000074
('గుర్తింపుకార్డును', 'చూపించి')	1	2	0.000241	0.000521	0.000074
('చూపించి', ',')	1	1	0.000241	0.000521	0.000074
(',', 'తాము')	1	549	0.000226	0.000427	0.000074
('తాము', 'పనిచేసే')	1	5	0.000241	0.000521	0.000074
('పనిచేసే', 'జిల్లా')	1	3	0.000241	0.000521	0.000074
('జిల్లా', 'పరిధిలోని')	1	31	0.000240	0.000515	0.000074
('పరిధిలోని', 'బస్సుల్లో')	1	1	0.000241	0.000521	0.000074
('బస్సుల్లో', 'ఉచితంగా')	1	1	0.000241	0.000521	0.000074
('ఉచితంగా', 'ప్రయాణించే')	1	1	0.000241	0.000521	0.000074
('ప్రయాణించే', 'సౌకర్యం')	1	1	0.000241	0.000521	0.000074
('సౌకర్యం', 'కల్పించనున్నారు')	1	17	0.000240	0.000518	0.000074
('కల్పించనున్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'దీనికోసం')	1	1945	0.000195	0.000293	0.000074
('దీనికోసం', 'ఆధునిక')	1	1	0.000241	0.000521	0.000074
('ఆధునిక', 'గుర్తింపుకార్డును')	1	1	0.000241	0.000521	0.000074
('గుర్తింపుకార్డును', 'అందజేయనున్నారు')	1	2	0.000241	0.000521	0.000074
('అందజేయనున్నారు', '</s>')	1	1	0.000241	0.000521	0.000059
('<s>', 'సెకండ్')	2	1945	0.000293	0.000518	0.000104
('సెకండ్', 'క్లాస్')	2	3	0.000361	0.000922	0.000104
('క్లాస్', 'నుంచి')	1	3	0.000241	0.000521	0.000074
('నుంచి', 'హెడ్')	1	56	0.000239	0.000510	0.000074
('హెడ్', 'కానిస్టేబుల్')	2	5	0.000361	0.000921	0.000104
('కానిస్టేబుల్', 'వరకు')	3	4	0.000481	0.001322	0.000133
('వరకు', 'గార్డులకు')	1	14	0.000240	0.000519	0.000074
('గార్డులకు', 'వారానికి')	1	1	0.000241	0.000521	0.000074
('వారానికి', 'ఒకరోజు')	1	3	0.000241	0.000521	0.000074
('ఒకరోజు', 'సెలవు')	1	1	0.000241	0.000521	0.000074
